wire,x,y,z,color
W001, 0.000000, 0.000000, 0,0
W001, 1.625405, 0.000000, 0,0
W001, 1.875405, 0.000000, 0,0
W001, 3.037089, 0.000000, 0,0
W001, 3.537089, 0.000000, 0,0
W001, 6.872165, 0.000000, 0,0
W001, 7.588582, 0.000000, 0,0
W001, 8.106076, 0.000000, 0,0
W001, 9.792492, 0.000000, 0,0
W001, 13.055291, 0.000000, 0,0
W001, 13.555291, 0.000000, 0,0
W001, 15.560768, 0.000000, 0,0
W001, 16.231840, 0.000000, 0,0
W001, 16.497547, 0.000000, 0,0
W001, 16.749484, 0.000000, 0,0
W002, 15.309896, -1.013021, 0,1
W002, 16.201269, -1.527656, 0,1
W002, 16.417775, -1.652656, 0,1
W003, 9.437248, -0.768552, 0,2
W003, 9.653754, -0.893552, 0,2
W003, 11.100011, -1.728549, 0,2
W003, 11.316517, -1.853549, 0,2
W003, 11.533023, -1.978549, 0,2
W004, 11.612648, -0.992735, 0,3
W004, 11.829155, -1.117735, 0,3
